      Type    Time(s)            Source_IP       Destination_IP         Source_Port     Destination_Port   Protocol     Length      Flags
 Multicast       0.00           172.18.0.2            224.1.1.1               39629                 5007        UDP         78       None
   Unicast       0.94           172.18.0.4           172.18.0.2               43360                10000        TCP         74     0x0002
   Unicast       0.94           172.18.0.2           172.18.0.4               10000                43360        TCP         74     0x0012
   Unicast       0.94           172.18.0.4           172.18.0.2               43360                10000        TCP         66     0x0010
   Unicast       0.94           172.18.0.4           172.18.0.2               43360                10000        TCP         77     0x0018
   Unicast       0.94           172.18.0.2           172.18.0.4               10000                43360        TCP         66     0x0010
   Unicast       0.94           172.18.0.2           172.18.0.4               10000                43360        TCP        100     0x0018
   Unicast       0.94           172.18.0.4           172.18.0.2               43360                10000        TCP         66     0x0010
   Unicast       0.94           172.18.0.4           172.18.0.2               43360                10000        TCP         77     0x0018
   Unicast       0.99           172.18.0.2           172.18.0.4               10000                43360        TCP         66     0x0010
 Multicast       1.08           172.18.0.2            224.1.1.1               39629                 5007        UDP         78       None
   Unicast       1.30           172.18.0.3           172.18.0.2               48584                10000        TCP         74     0x0002
   Unicast       1.30           172.18.0.2           172.18.0.3               10000                48584        TCP         74     0x0012
   Unicast       1.30           172.18.0.3           172.18.0.2               48584                10000        TCP         66     0x0010
   Unicast       1.30           172.18.0.3           172.18.0.2               48584                10000        TCP         77     0x0018
   Unicast       1.30           172.18.0.2           172.18.0.3               10000                48584        TCP         66     0x0010
   Unicast       1.30           172.18.0.2           172.18.0.3               10000                48584        TCP        100     0x0018
   Unicast       1.30           172.18.0.3           172.18.0.2               48584                10000        TCP         66     0x0010
   Unicast       1.30           172.18.0.3           172.18.0.2               48584                10000        TCP         77     0x0018
   Unicast       1.35           172.18.0.2           172.18.0.3               10000                48584        TCP         66     0x0010
   Unicast       1.53           172.18.0.6           172.18.0.2               51102                10000        TCP         74     0x0002
   Unicast       1.53           172.18.0.2           172.18.0.6               10000                51102        TCP         74     0x0012
   Unicast       1.53           172.18.0.6           172.18.0.2               51102                10000        TCP         66     0x0010
   Unicast       1.53           172.18.0.6           172.18.0.2               51102                10000        TCP         77     0x0018
   Unicast       1.53           172.18.0.2           172.18.0.6               10000                51102        TCP         66     0x0010
   Unicast       1.53           172.18.0.2           172.18.0.6               10000                51102        TCP        100     0x0018
